customer_id,name,document_type,document_number,segment,birth_date,status
CUS000063,Leocadia Pastor Perera,PASSPORT,33326049,SME,2005-02-26,ACTIVE
CUS000064,Dionisio Carretero Mora,DNI,67257361,CORPORATE,1983-05-15,ACTIVE
CUS000065,Eva María Tomás Figuerola,CE,10929987,CORPORATE,1976-09-03,ACTIVE
CUS000066,Isabel Samper Salazar,DNI,69445952,RETAIL,1945-02-22,ACTIVE
CUS000067,Alba Quintero Palomares,RUC,50662176,SME,2007-06-17,ACTIVE
CUS000068,Antonia Bas Zorrilla,PASSPORT,70230751,SME,2005-06-16,ACTIVE
CUS000069,Gustavo Murillo Hidalgo,CE,68312343,SME,1970-09-22,ACTIVE
CUS000070,Alcides Castellanos Doménech,PASSPORT,58115563,RETAIL,2007-06-30,ACTIVE
CUS000071,Raúl Mate Vendrell,PASSPORT,79349670,CORPORATE,1988-10-19,ACTIVE
CUS000072,Samanta Arellano-Gimeno,DNI,99386324,SME,1979-07-27,INACTIVE
CUS000073,Arsenio Arco Valenzuela,DNI,32778758,PRIVATE_BANKING,1964-04-25,INACTIVE
CUS000074,Esteban Ferrando Terrón,PASSPORT,23684671,SME,1954-02-14,ACTIVE
CUS000075,Mauricio Gomila,RUC,47058481,RETAIL,1976-04-10,ACTIVE
CUS000076,Rosalva Arregui Portillo,CE,81279322,CORPORATE,1958-06-27,ACTIVE
CUS000077,Teófila Villalonga Ayllón,PASSPORT,85544012,CORPORATE,1948-06-05,ACTIVE
CUS000078,Alicia Aguiló Tena,DNI,88077284,RETAIL,2001-01-31,ACTIVE
CUS000079,Dimas Alcázar Cazorla,CE,94766787,RETAIL,1943-01-25,ACTIVE
CUS000080,Georgina Roig,RUC,98543808,RETAIL,1940-09-18,ACTIVE
CUS000081,Pepito Acedo Azcona,PASSPORT,83616673,CORPORATE,2003-01-17,INACTIVE
CUS000082,Victor Manuel Franco Navas,CE,41014283,RETAIL,1962-11-04,ACTIVE
CUS000083,Inmaculada Nogués Polo,PASSPORT,66496538,PRIVATE_BANKING,1969-03-09,ACTIVE
CUS000084,Flavio Luján-Durán,PASSPORT,98062208,SME,2003-04-15,ACTIVE
CUS000085,Lucio Zamora,PASSPORT,11793310,PRIVATE_BANKING,1952-12-16,ACTIVE
CUS000086,Paola Osuna Gámez,PASSPORT,45817805,PRIVATE_BANKING,1996-06-09,ACTIVE
CUS000087,Ismael Bermúdez Colom,CE,50085154,CORPORATE,1941-02-16,ACTIVE
CUS000088,Ruperto Modesto Flores Cases,DNI,13320707,CORPORATE,1963-01-19,ACTIVE
CUS000089,Rosa Domínguez Barral,RUC,59923865,RETAIL,1976-09-08,ACTIVE
CUS000090,Candela Lloret Palmer,PASSPORT,13618353,SME,1948-04-29,ACTIVE
CUS000091,Estefanía Lorena Lobato Carbajo,CE,32896424,CORPORATE,1946-03-05,ACTIVE
CUS000092,Cesar Sureda Cañas,CE,85961150,RETAIL,1985-12-10,ACTIVE
CUS000093,Aurelio Cuenca-Marqués,PASSPORT,53029690,PRIVATE_BANKING,2002-10-22,ACTIVE
CUS000094,Juliana Llorente,PASSPORT,79490080,CORPORATE,1975-12-12,BLOCKED
CUS000095,José Manuel Yuste Heras,RUC,60452086,RETAIL,2001-10-16,ACTIVE
CUS000096,Trini Maestre Moreno,DNI,91991746,RETAIL,1976-10-08,ACTIVE
CUS000097,Rufino Blasco Bayón,CE,13264531,RETAIL,1944-07-07,ACTIVE
CUS000098,Maximiano Casals Sáenz,RUC,29795479,SME,1986-09-03,ACTIVE
CUS000099,Pascuala Camps,DNI,95289909,CORPORATE,1970-04-07,ACTIVE
CUS000100,Leyre Leon,PASSPORT,13164483,RETAIL,1969-12-18,ACTIVE
CUS000101,Chucho Coronado-Guardia,PASSPORT,68967556,PRIVATE_BANKING,1977-12-14,ACTIVE
CUS000102,Pili Robledo Planas,RUC,96934070,CORPORATE,1978-09-12,ACTIVE
CUS000103,Morena Ferrándiz Lladó,CE,66474096,CORPORATE,1944-01-19,ACTIVE
CUS000104,Felipa de Rosa,CE,37168522,PRIVATE_BANKING,1948-05-27,BLOCKED
CUS000105,Débora Río Alegria,RUC,78402948,SME,1945-10-23,ACTIVE
CUS000106,Eustaquio Martín Arnaiz,CE,54018604,PRIVATE_BANKING,2008-06-10,ACTIVE
CUS000107,Faustino Santana Peral,CE,80178169,RETAIL,1964-02-08,ACTIVE
CUS000108,Jorge Lucas Amores,DNI,78166669,PRIVATE_BANKING,1984-01-07,ACTIVE
CUS000109,Sol Carla Donaire Marcos,PASSPORT,79001960,PRIVATE_BANKING,1951-10-07,ACTIVE
CUS000110,Lorenzo de Albero,DNI,30228575,SME,1966-01-09,ACTIVE
CUS000111,Felipe Nazaret Pintor Ferrera,RUC,17708612,CORPORATE,1994-02-01,ACTIVE
CUS000112,Jose Francisco Piquer-Peña,RUC,89091927,SME,1958-12-02,ACTIVE
CUS000113,Marcos Alcalá Garay,DNI,15522783,SME,1944-12-14,ACTIVE
CUS000114,Pablo Roura Coloma,RUC,15596934,CORPORATE,1942-04-24,ACTIVE
CUS000115,Olegario Vargas-Abascal,CE,50020772,RETAIL,1977-08-24,ACTIVE
CUS000116,Aroa Luque Alvarez,DNI,77704019,RETAIL,1983-11-13,ACTIVE
CUS000117,Isidoro Isaías Manuel Boix,RUC,14962544,SME,1942-12-08,ACTIVE
CUS000118,Luciana Castrillo Rivero,DNI,23025908,CORPORATE,1984-06-02,ACTIVE
CUS000119,Priscila Hervás Francisco,PASSPORT,46705105,CORPORATE,1997-01-29,ACTIVE
CUS000120,Isaías Vergara,PASSPORT,34729778,RETAIL,2002-04-09,ACTIVE
CUS000121,Santiago de Mosquera,PASSPORT,48182066,RETAIL,1987-02-01,ACTIVE
CUS000122,Brunilda Esteban Yáñez,DNI,98411486,CORPORATE,2006-02-19,INACTIVE
CUS000123,Zacarías Verdejo Prieto,CE,13527823,SME,1945-02-27,ACTIVE
CUS000124,José Ángel Rios-Pedraza,CE,60417461,PRIVATE_BANKING,1963-01-22,ACTIVE
CUS000125,Maximiano Saavedra,CE,92758890,PRIVATE_BANKING,1942-07-04,ACTIVE
CUS000126,Godofredo Gimeno Cepeda,PASSPORT,37646030,SME,1944-07-24,ACTIVE
CUS000127,Darío Sala Taboada,DNI,60674991,PRIVATE_BANKING,2003-09-05,ACTIVE
CUS000128,Rubén Cosme Cobo Martí,DNI,38807262,PRIVATE_BANKING,1992-09-15,ACTIVE
CUS000129,Samuel Alcolea,PASSPORT,59472509,RETAIL,1986-01-07,ACTIVE
CUS000130,Alejo Sans Tur,RUC,16849089,PRIVATE_BANKING,1974-12-16,ACTIVE
CUS000131,Olalla Amorós Caballero,PASSPORT,65695673,CORPORATE,1943-03-04,ACTIVE
CUS000132,Marcelino Pardo-Mayoral,DNI,56719528,PRIVATE_BANKING,1985-07-25,ACTIVE
CUS000133,Nayara Paredes Espinosa,PASSPORT,22767206,RETAIL,1959-04-03,ACTIVE
CUS000134,Noemí Vera,RUC,67619231,SME,1983-01-17,ACTIVE
CUS000135,Tecla Ortiz,RUC,88994745,PRIVATE_BANKING,1945-12-14,ACTIVE
CUS000136,Jovita Milagros Bueno Millán,PASSPORT,34780721,SME,1960-01-01,ACTIVE
CUS000137,Albert Álamo,RUC,97044083,RETAIL,2003-02-27,ACTIVE
CUS000138,Alberto Pardo Gutiérrez,RUC,67710633,SME,1997-11-25,ACTIVE
CUS000139,Felicidad Francisco Saavedra,DNI,33524475,CORPORATE,1966-03-14,ACTIVE
CUS000140,Cristian Vito Feijoo Cuervo,CE,69114928,RETAIL,1955-01-25,ACTIVE
CUS000141,Judith Alfonso Garmendia,CE,31582037,PRIVATE_BANKING,1975-07-19,ACTIVE
CUS000142,Salomé Juárez Pedrosa,CE,31354173,CORPORATE,1969-05-23,ACTIVE
CUS000143,Plácido Rozas Azcona,RUC,73612831,SME,1944-01-08,ACTIVE
CUS000144,Pili Eloísa Ribera Infante,RUC,52681536,SME,1969-12-12,ACTIVE
CUS000145,Félix Puerta Arnaiz,CE,64862498,PRIVATE_BANKING,1973-04-09,ACTIVE
CUS000146,Rufina Flavia Bustamante Alberola,RUC,38584407,SME,1967-02-02,ACTIVE
CUS000147,Inés Comas Tejero,RUC,71685628,SME,1992-12-15,ACTIVE
CUS000148,Rocío Solera-Peñas,PASSPORT,57736144,CORPORATE,1971-09-18,ACTIVE
CUS000149,Cirino Clemente Hurtado Riquelme,PASSPORT,26731952,PRIVATE_BANKING,1963-01-21,ACTIVE
CUS000150,Urbano Acosta Sola,CE,65080967,PRIVATE_BANKING,1984-10-03,ACTIVE
CUS000151,Faustino Carrera Díez,DNI,18946941,RETAIL,1969-11-23,ACTIVE
CUS000152,Íñigo del Bravo,PASSPORT,13464527,PRIVATE_BANKING,1960-12-02,ACTIVE
CUS000153,Cecilio Saez,DNI,17540886,CORPORATE,1986-08-01,ACTIVE
CUS000154,Cecilia Cuenca,CE,19024901,PRIVATE_BANKING,1987-03-06,ACTIVE
CUS000155,Josefina Sáez,CE,47016073,SME,1964-11-12,ACTIVE
CUS000156,Zoraida Susanita Roselló Monreal,DNI,46324448,SME,1953-03-21,ACTIVE
CUS000157,Silvestre Rebollo,PASSPORT,25697732,PRIVATE_BANKING,1951-03-23,ACTIVE
CUS000158,Sol Valcárcel Garcés,PASSPORT,86473006,CORPORATE,1971-09-14,ACTIVE
CUS000159,Venceslás Roca Segura,DNI,90348699,CORPORATE,2007-09-14,ACTIVE
CUS000160,Martina Morán Pagès,CE,41005969,SME,1994-10-24,BLOCKED
CUS000161,Cayetano Ibáñez Casanovas,RUC,43692780,CORPORATE,1993-09-23,ACTIVE
CUS000162,Teófilo de Reguera,DNI,76946893,RETAIL,1970-02-26,ACTIVE
CUS000163,Amílcar de Bueno,CE,53725696,CORPORATE,1994-05-25,ACTIVE
CUS000164,Emma Amigó,CE,97901831,CORPORATE,1967-03-03,ACTIVE
CUS000165,Alba Barbero Losada,PASSPORT,36111547,CORPORATE,1970-12-20,ACTIVE
CUS000166,Tania Cintia Bautista Viña,PASSPORT,97029537,CORPORATE,1978-04-05,ACTIVE
CUS000167,Sergio Checa Llorens,PASSPORT,22275948,RETAIL,1970-04-14,ACTIVE
CUS000168,Cándido Bello Lillo,CE,43549881,RETAIL,1989-06-30,ACTIVE
CUS000169,Toni Barceló Moll,DNI,96689298,CORPORATE,1976-04-06,INACTIVE
CUS000170,Virginia Lopez Macias,DNI,85836854,SME,1948-08-10,ACTIVE
CUS000171,Eugenio Carranza-Maldonado,PASSPORT,64095961,PRIVATE_BANKING,2002-11-09,ACTIVE
CUS000172,David Folch,DNI,62593577,SME,1961-08-23,INACTIVE
CUS000173,Dionisia Oliver Bravo,PASSPORT,49919948,PRIVATE_BANKING,2008-05-30,ACTIVE
CUS000174,Natanael Vallejo Fortuny,PASSPORT,53337362,SME,1995-10-21,ACTIVE
CUS000175,Paca Gordillo Mendoza,PASSPORT,14642704,RETAIL,1962-10-23,ACTIVE
CUS000176,Cleto Evaristo Vilar Miguel,RUC,66366383,RETAIL,1948-06-22,ACTIVE
CUS000177,Aurelia Pagès Bravo,RUC,12273191,CORPORATE,1984-09-30,INACTIVE
CUS000178,Edelmiro Batalla,CE,61699353,CORPORATE,1941-02-27,INACTIVE
CUS000179,Mohamed Parra Calderon,CE,52084643,RETAIL,1970-09-13,ACTIVE
CUS000180,Carmelita Ortuño Quintana,DNI,63256371,CORPORATE,1979-01-29,ACTIVE
CUS000181,Vicente Pou Cuenca,RUC,21183145,SME,1969-03-31,ACTIVE
CUS000182,Emma Puga Carmona,CE,45155444,SME,2001-12-21,ACTIVE
CUS000183,Mayte Feliciana Moraleda Gaya,CE,98004373,CORPORATE,1988-04-02,ACTIVE
CUS000184,Alexandra Azorin Salas,PASSPORT,93697073,PRIVATE_BANKING,1952-12-10,ACTIVE
CUS000185,Elisabet Segovia Alegria,PASSPORT,11776117,SME,1969-03-19,ACTIVE
CUS000186,Trinidad de Plaza,CE,22440142,PRIVATE_BANKING,1964-06-22,ACTIVE
CUS000187,Olalla del Tormo,RUC,83856837,PRIVATE_BANKING,1988-04-01,ACTIVE
CUS000188,Faustino Aragonés Cabello,CE,96629885,SME,2005-07-14,ACTIVE
CUS000189,Ramiro Puente Oliva,CE,33406890,PRIVATE_BANKING,1996-02-23,ACTIVE
CUS000190,Anna Franch Valero,PASSPORT,75147519,SME,1966-01-06,ACTIVE
CUS000191,Demetrio Guzman Jove,CE,58667604,PRIVATE_BANKING,1955-04-21,ACTIVE
CUS000192,Teresita Robles Morell,PASSPORT,91897597,RETAIL,1953-12-01,ACTIVE
CUS000193,Aurelio de Gual,RUC,48183752,RETAIL,1941-07-22,ACTIVE
CUS000194,Ángeles Torralba-Tolosa,PASSPORT,20867071,CORPORATE,1946-12-17,INACTIVE
CUS000195,Calixta Vallejo-Fernández,DNI,59214123,CORPORATE,1944-12-18,ACTIVE
CUS000196,Quirino Díaz Sotelo,CE,40668159,SME,1953-06-27,ACTIVE
CUS000197,Julieta Giner Uría,RUC,61222980,PRIVATE_BANKING,1985-03-10,ACTIVE
CUS000198,Gerardo Sánchez Hernandez,PASSPORT,23521883,PRIVATE_BANKING,1943-11-14,INACTIVE
CUS000199,Albina Maite Tur Luís,RUC,40195676,SME,1985-04-02,ACTIVE
CUS000200,Nilda Mena,RUC,31614590,RETAIL,1987-11-06,ACTIVE
CUS000201,María Pilar Palomino-Catalán,CE,95856640,PRIVATE_BANKING,1946-02-28,ACTIVE
CUS000202,Apolonia Flavia Nadal Arellano,PASSPORT,25356191,RETAIL,1992-11-20,ACTIVE
CUS000203,Danilo Colom Alegria,RUC,47349426,PRIVATE_BANKING,1993-01-18,ACTIVE
CUS000204,Leandra Bilbao Miralles,PASSPORT,48521760,PRIVATE_BANKING,1970-06-21,ACTIVE
CUS000205,Jenny Gomila Álvaro,RUC,32996822,SME,1947-07-05,ACTIVE
CUS000206,Candelaria Benavent Granados,RUC,88017334,PRIVATE_BANKING,1949-11-02,ACTIVE
CUS000207,Calixta Ortiz Carbó,CE,44696582,CORPORATE,1997-06-24,ACTIVE
CUS000208,Itziar Lobo Rodriguez,CE,32153560,PRIVATE_BANKING,1983-06-27,ACTIVE
CUS000209,Eloísa Tomas Acevedo,RUC,51034442,PRIVATE_BANKING,1951-10-06,ACTIVE
CUS000210,Carlota García Antón,RUC,51470847,RETAIL,2003-04-07,ACTIVE
CUS000211,Isidora Osorio-Donaire,CE,86941270,SME,1988-11-20,ACTIVE
CUS000212,Jaime Eutimio Velasco Duran,DNI,75609722,PRIVATE_BANKING,1953-07-16,ACTIVE
CUS000213,Anastasia Santiago-Maza,CE,41053576,PRIVATE_BANKING,1951-11-18,ACTIVE
CUS000214,Ximena Zorrilla Portero,CE,91293537,CORPORATE,2004-01-05,INACTIVE
CUS000215,Nazario Fabregat Feliu,DNI,15010807,PRIVATE_BANKING,1998-12-01,ACTIVE
CUS000216,Jose Ignacio Piñeiro Ferrando,CE,84211384,RETAIL,1984-03-01,ACTIVE
CUS000217,David Solana Castellanos,CE,40944657,RETAIL,1988-04-18,ACTIVE
CUS000218,Yésica Ballester Arcos,PASSPORT,77153023,CORPORATE,2001-07-09,ACTIVE
CUS000219,Leonel Anglada,DNI,14428681,CORPORATE,1967-11-20,ACTIVE
CUS000220,David Benitez Cortina,CE,83155300,RETAIL,1951-01-30,ACTIVE
CUS000221,Wálter Vall-Múñiz,RUC,93318104,CORPORATE,1993-10-15,ACTIVE
CUS000222,Amor de Montserrat,CE,63010140,RETAIL,1950-09-03,ACTIVE
CUS000223,Leandro Cabezas Polo,RUC,14620046,SME,1985-03-21,ACTIVE
CUS000224,Perlita Felipa Álvaro Esteban,RUC,97524368,PRIVATE_BANKING,2001-02-07,ACTIVE
CUS000225,Jerónimo Sancho Aramburu,CE,78023111,PRIVATE_BANKING,1993-03-26,ACTIVE
CUS000226,María José de Fuentes,DNI,53138019,CORPORATE,1975-07-01,ACTIVE
CUS000227,José Juana Acosta Frías,DNI,33768679,PRIVATE_BANKING,1983-10-02,ACTIVE
CUS000228,Eugenia Acero Montoya,PASSPORT,47836378,RETAIL,2007-06-28,ACTIVE
CUS000229,Yaiza Carbó Elorza,PASSPORT,70268504,PRIVATE_BANKING,1958-07-22,ACTIVE
CUS000230,Germán del Bárcena,DNI,74069902,SME,1986-08-14,ACTIVE
CUS000231,Pilar Sanchez Rosado,CE,20568480,PRIVATE_BANKING,1985-02-02,ACTIVE
CUS000232,Jorge Castillo Gutiérrez,RUC,19868931,SME,1984-09-17,ACTIVE
CUS000233,Florina Torres,DNI,30443415,SME,1946-01-04,ACTIVE
CUS000234,Manuel Fabregat Borrego,DNI,50081186,RETAIL,1987-10-23,ACTIVE
CUS000235,Candelario Soto Amores,DNI,72485716,RETAIL,1978-07-15,ACTIVE
CUS000236,Victoriano Nacho Calvo Armas,PASSPORT,50458022,SME,2006-10-11,ACTIVE
CUS000237,María Manuela Ayllón Vara,RUC,73260772,SME,2005-11-28,ACTIVE
CUS000238,Samu Eutropio Haro Conde,DNI,64545146,SME,1995-02-22,ACTIVE
CUS000239,Jovita Giménez Miró,RUC,34978527,RETAIL,1950-08-22,ACTIVE
CUS000240,Diana Saez Estrada,PASSPORT,35082966,SME,1943-05-25,ACTIVE
CUS000241,Cayetana Goñi Ponce,RUC,14655557,CORPORATE,1942-01-19,ACTIVE
CUS000242,Marciano Lorenzo Feliu,CE,57375355,RETAIL,1971-04-09,ACTIVE
CUS000243,Azucena Galán-Expósito,CE,71614061,PRIVATE_BANKING,1990-08-09,ACTIVE
CUS000244,Belen Zabala Duran,CE,31588712,RETAIL,1992-05-24,ACTIVE
CUS000245,Carmela del Sainz,CE,93122838,CORPORATE,1951-08-05,ACTIVE
CUS000246,Nuria Bolaños Fiol,RUC,23784555,PRIVATE_BANKING,1947-08-22,ACTIVE
CUS000247,Lorenza Llobet,CE,71371608,CORPORATE,1971-10-01,ACTIVE
CUS000248,Carlos Larrañaga,CE,30319579,CORPORATE,1977-05-04,ACTIVE
CUS000249,Reynaldo Bermudez Clemente,DNI,20534419,SME,1989-04-27,ACTIVE
CUS000250,Baudelio Cornelio Sanabria Gilabert,PASSPORT,25426385,SME,1962-08-05,ACTIVE
CUS000251,María Jesús Carrasco Seguí,PASSPORT,91912188,RETAIL,1988-07-17,ACTIVE
CUS000252,Manuelita Cuéllar,CE,60310545,SME,2002-12-04,ACTIVE
CUS000253,Telmo Canet Oliver,PASSPORT,48952733,PRIVATE_BANKING,1992-05-18,ACTIVE
CUS000254,Leire del Barrena,DNI,43913356,SME,1960-05-23,ACTIVE
CUS000255,Bernardo Vergara Agudo,DNI,33749989,PRIVATE_BANKING,1957-11-02,ACTIVE
CUS000256,Hernando Quiroga Quero,RUC,20596000,RETAIL,2007-08-21,BLOCKED
CUS000257,Roberta Esperanza Ortiz Santana,PASSPORT,57238713,PRIVATE_BANKING,1946-01-09,ACTIVE
CUS000258,Asunción Marcos Vicente,PASSPORT,24506500,CORPORATE,1942-08-16,ACTIVE
CUS000259,Hipólito Gimenez Garrido,PASSPORT,24005489,PRIVATE_BANKING,1996-06-07,ACTIVE
CUS000260,Valeria Pareja Mendez,PASSPORT,65283788,CORPORATE,1960-05-12,ACTIVE
CUS000261,César Santamaria Soto,PASSPORT,66623840,RETAIL,1969-05-06,ACTIVE
CUS000262,Luz del Monreal,CE,70692911,PRIVATE_BANKING,1984-10-19,ACTIVE
CUS000263,Rómulo de González,RUC,52684879,SME,1989-09-26,ACTIVE
CUS000264,María Carmen Barral Batlle,CE,40455731,CORPORATE,1960-01-25,ACTIVE
CUS000265,César Oliver Bosch,DNI,18968689,SME,1951-10-04,ACTIVE
CUS000266,Anacleto Carrillo Castro,CE,83228806,CORPORATE,1987-03-16,ACTIVE
CUS000267,Gil Bernal Granados,DNI,17744167,RETAIL,1988-12-30,ACTIVE
CUS000268,Anselmo Villanueva Borrás,CE,12855184,RETAIL,1984-02-12,ACTIVE
CUS000269,Julio César Arribas Carbonell,DNI,40734457,SME,1957-09-16,ACTIVE
CUS000270,Sancho Cases Nicolás,DNI,43659095,CORPORATE,2004-10-07,ACTIVE
CUS000271,Adelaida de Abad,DNI,25330372,RETAIL,1971-09-03,ACTIVE
CUS000272,Marita Mercader Rincón,CE,55605479,PRIVATE_BANKING,1957-06-08,ACTIVE
CUS000273,Consuelo Valverde Águila,DNI,82295051,RETAIL,1994-09-01,ACTIVE
CUS000274,Amaya Villalobos Pérez,CE,62195338,CORPORATE,1998-12-13,ACTIVE
CUS000275,Severiano del Ariza,PASSPORT,40024155,PRIVATE_BANKING,2008-04-20,ACTIVE
CUS000276,Elisabet Alcalá Quero,DNI,79254838,PRIVATE_BANKING,1956-07-05,BLOCKED
CUS000277,Rocío Piñol Villalonga,CE,85848379,CORPORATE,1964-10-02,ACTIVE
CUS000278,Yésica Adadia Botella,RUC,59486391,CORPORATE,1990-06-30,ACTIVE
CUS000279,Fidela Vallejo-Cámara,RUC,57562588,CORPORATE,1971-12-03,ACTIVE
CUS000280,Eligio Franco Planas,RUC,83494634,PRIVATE_BANKING,1965-12-30,ACTIVE
CUS000281,Gilberto Niño Sanmartín,DNI,75939104,RETAIL,1966-05-30,ACTIVE
CUS000282,Artemio Lázaro Gimenez Gargallo,PASSPORT,77300184,SME,1942-03-20,ACTIVE
CUS000283,Hernán Ferrando Plaza,DNI,45536943,SME,1985-05-10,ACTIVE
CUS000284,Soraya Mas,DNI,23261872,CORPORATE,1940-10-17,ACTIVE
CUS000285,Iván Hoz-Torralba,PASSPORT,98276119,PRIVATE_BANKING,1962-11-23,ACTIVE
CUS000286,Cloe Molins Calvet,PASSPORT,22157024,SME,1980-11-10,ACTIVE
